ts,Temperature,Flow,Pressure,AccumulateFlow
2023-06-14 13:57:43+00:00,27.0,42,3.51,470
2023-06-14 13:58:04+00:00,27.0,0,3.51,480
2023-06-14 13:58:18+00:00,27.0,22,3.51,480
2023-06-14 13:58:25+00:00,27.0,44,3.51,480
2023-06-14 13:58:35+00:00,27.0,22,3.51,490
2023-06-14 13:58:39+00:00,27.0,38,3.51,490
2023-06-14 13:58:42+00:00,27.0,33,3.51,490
2023-06-14 13:58:46+00:00,27.0,25,3.51,490
2023-06-14 13:58:49+00:00,27.0,0,3.51,490
2023-06-14 13:59:00+00:00,27.0,0,3.51,500
2023-06-14 13:59:07+00:00,27.0,31,3.51,500
2023-06-14 13:59:25+00:00,27.0,24,3.51,500
2023-06-14 13:59:36+00:00,27.0,23,3.51,510
2023-06-14 13:59:40+00:00,27.0,0,3.51,510
2023-06-14 14:00:18+00:00,27.0,23,3.51,520
2023-06-14 14:00:21+00:00,27.0,0,3.51,520
2023-06-14 14:00:25+00:00,27.0,42,3.51,520
2023-06-14 14:00:53+00:00,27.0,35,3.51,530
2023-06-14 14:00:56+00:00,27.0,43,3.51,530
2023-06-14 14:01:00+00:00,27.0,0,3.51,530
2023-06-14 14:01:07+00:00,27.0,42,3.51,540
2023-06-14 14:01:11+00:00,27.0,32,3.51,540
2023-06-14 14:01:17+00:00,27.0,25,3.51,540
2023-06-14 14:01:32+00:00,27.0,20,3.51,540
2023-06-14 14:01:39+00:00,27.0,29,3.51,550
2023-06-14 14:01:46+00:00,27.0,0,3.51,550
2023-06-14 14:02:00+00:00,27.0,0,3.51,550
2023-06-14 14:02:18+00:00,27.0,30,3.51,560
2023-06-14 14:02:21+00:00,27.0,31,3.51,560
2023-06-14 14:02:56+00:00,27.0,0,3.51,570
2023-06-14 14:03:21+00:00,27.0,0,3.51,580
2023-06-14 14:03:31+00:00,27.0,0,3.51,580
2023-06-14 14:03:43+00:00,27.0,0,3.51,580
2023-06-14 14:03:57+00:00,27.0,0,3.51,590
2023-06-14 14:04:18+00:00,27.0,45,3.51,600
2023-06-14 14:04:21+00:00,27.0,37,3.51,600
2023-06-14 14:04:28+00:00,27.0,26,3.51,600
2023-06-14 14:04:46+00:00,27.0,37,3.51,610
2023-06-14 14:04:49+00:00,27.0,31,3.51,610
2023-06-14 14:06:11+00:00,27.0,29,3.51,630
2023-06-14 14:06:42+00:00,27.0,0,3.51,640
2023-06-14 14:06:56+00:00,27.0,0,3.51,650
2023-06-14 14:07:14+00:00,27.0,34,3.51,650
2023-06-14 14:07:56+00:00,27.0,38,3.51,670
2023-06-14 14:08:10+00:00,27.0,35,3.51,670
2023-06-14 14:08:21+00:00,27.0,0,3.51,670
2023-06-14 14:08:28+00:00,27.0,29,3.51,680
2023-06-14 14:08:32+00:00,27.0,0,3.51,680
2023-06-14 14:10:43+00:00,27.0,23,3.51,770
2023-06-14 13:56:00+00:00,27.0,22,3.39,440
2023-06-14 14:01:50+00:00,27.0,31,3.39,550
2023-06-14 13:55:11+00:00,27.0,51,3.52,410
2023-06-14 13:55:50+00:00,27.0,0,3.52,430
2023-06-14 13:57:25+00:00,27.0,0,3.52,460
2023-06-14 13:58:32+00:00,27.0,26,3.52,490
2023-06-14 13:59:10+00:00,27.0,34,3.52,500
2023-06-14 14:00:11+00:00,27.0,0,3.52,520
2023-06-14 14:00:35+00:00,27.0,0,3.52,530
2023-06-14 14:01:57+00:00,27.0,21,3.52,550
2023-06-14 14:02:35+00:00,27.0,29,3.52,560
2023-06-14 14:04:25+00:00,27.0,24,3.52,600
2023-06-14 14:05:17+00:00,27.0,32,3.52,620
2023-06-14 14:08:03+00:00,27.0,24,3.52,670
2023-06-14 13:58:56+00:00,27.0,35,3.53,490
2023-06-14 14:01:14+00:00,27.0,0,3.53,540
2023-06-14 14:01:28+00:00,27.0,23,3.53,540
2023-06-14 14:01:43+00:00,27.0,25,3.53,550
2023-06-14 14:01:53+00:00,27.0,30,3.53,550
2023-06-14 14:04:39+00:00,27.0,26,3.53,600
2023-06-14 13:59:17+00:00,27.0,0,3.41,500
2023-06-14 14:08:25+00:00,27.0,31,3.41,670
2023-06-14 14:08:49+00:00,27.0,0,3.41,680
2023-06-14 14:15:07+00:00,27.0,59,3.41,880
2023-06-14 14:00:04+00:00,27.0,28,3.54,520
2023-06-14 14:02:07+00:00,27.0,31,3.54,550
2023-06-14 13:56:28+00:00,27.0,23,3.43,440
2023-06-14 14:08:46+00:00,27.0,0,3.43,680
2023-06-14 14:02:39+00:00,27.0,0,3.45,560
2023-06-14 14:12:45+00:00,27.0,0,1.6,840
2023-06-14 14:12:46+00:00,27.0,30,1.6,840
2023-06-14 14:12:49+00:00,27.0,0,1.6,840
2023-06-14 14:12:51+00:00,27.0,37,1.6,840
2023-06-14 14:12:54+00:00,27.0,28,1.6,840
2023-06-14 14:13:04+00:00,27.0,37,1.6,840
2023-06-14 14:13:14+00:00,27.0,20,1.6,850
2023-06-14 14:15:58+00:00,27.0,0,1.79,910
2023-06-14 13:59:04+00:00,27.0,0,3.46,500
2023-06-14 14:05:21+00:00,27.0,0,3.46,620
2023-06-14 13:59:14+00:00,27.0,0,3.34,500
2023-06-14 13:59:53+00:00,27.0,24,3.34,510
2023-06-14 13:59:32+00:00,27.0,0,3.47,510
2023-06-14 14:02:14+00:00,27.0,0,3.47,560
2023-06-14 14:06:00+00:00,27.0,24,3.47,630
2023-06-14 14:12:58+00:00,27.0,0,1.61,840
2023-06-14 14:12:59+00:00,27.0,28,1.61,840
2023-06-14 14:13:13+00:00,27.0,36,1.61,850
2023-06-14 14:12:48+00:00,27.0,23,1.55,840
2023-06-14 14:12:52+00:00,27.0,22,1.55,840
2023-06-14 13:54:32+00:00,27.0,48,3.48,390
2023-06-14 14:02:04+00:00,27.0,30,3.48,550
2023-06-14 14:05:38+00:00,27.0,0,3.48,620
2023-06-14 14:05:49+00:00,27.0,0,3.48,630
2023-06-14 14:06:14+00:00,27.0,20,3.48,630
2023-06-14 13:56:42+00:00,27.0,0,3.49,450
2023-06-14 13:57:36+00:00,27.0,0,3.49,470
2023-06-14 13:59:46+00:00,27.0,0,3.49,510
2023-06-14 14:02:42+00:00,27.0,0,3.49,560
2023-06-14 14:02:53+00:00,27.0,0,3.49,570
2023-06-14 14:04:14+00:00,27.0,27,3.49,600
2023-06-14 13:48:47+00:00,28.0,0,1.7,230
2023-06-14 13:48:12+00:00,28.0,0,1.71,230
2023-06-14 13:48:15+00:00,28.0,0,1.71,230
2023-06-14 13:48:19+00:00,28.0,0,1.71,230
2023-06-14 14:25:45+00:00,27.5,0,1.79,930
2023-06-14 14:26:39+00:00,27.5,0,1.79,930
2023-08-04 12:38:46+00:00,22.2,19,4.2,609
2023-08-07 08:57:25+00:00,22.2,81,1.7,744
2023-06-14 13:51:39+00:00,27.2,33,3.3,300
2023-06-14 14:29:06+00:00,27.2,47,3.7,980
2023-06-14 14:29:17+00:00,27.2,55,3.82,990
2023-06-14 14:29:33+00:00,27.2,55,4.17,990
2023-06-14 13:51:01+00:00,27.2,26,3.5,280
2023-06-14 13:51:04+00:00,27.2,25,3.5,280
2023-06-14 13:51:32+00:00,27.2,40,3.5,300
2023-06-14 13:51:36+00:00,27.2,45,3.5,300
2023-06-14 13:51:50+00:00,27.2,50,3.5,310
2023-06-14 13:52:07+00:00,27.2,52,3.5,320
2023-06-14 13:52:18+00:00,27.2,24,3.5,320
2023-06-14 13:52:33+00:00,27.2,0,3.5,330
2023-06-14 13:53:25+00:00,27.2,0,3.5,360
2023-06-14 13:50:57+00:00,27.2,57,3.51,280
2023-06-14 13:51:18+00:00,27.2,63,3.51,290
2023-06-14 13:51:29+00:00,27.2,0,3.51,300
2023-06-14 13:52:00+00:00,27.2,21,3.51,320
2023-06-14 13:52:04+00:00,27.2,53,3.51,320
2023-06-14 13:52:21+00:00,27.2,43,3.51,330
2023-06-14 13:52:25+00:00,27.2,41,3.51,330
2023-06-14 13:53:22+00:00,27.2,0,3.51,360
2023-06-14 13:51:25+00:00,27.2,25,3.52,300
2023-06-14 13:51:53+00:00,27.2,57,3.52,310
2023-06-14 13:51:57+00:00,27.2,28,3.52,310
2023-06-14 13:52:14+00:00,27.2,25,3.52,320
2023-06-14 13:52:47+00:00,27.2,24,3.52,340
2023-06-14 14:28:32+00:00,27.2,59,4.33,960
2023-06-14 14:16:36+00:00,27.2,0,1.79,910
2023-06-14 14:16:48+00:00,27.2,0,1.79,910
2023-06-14 13:51:11+00:00,27.2,0,3.34,290
2023-06-14 13:51:15+00:00,27.2,62,3.34,290
2023-06-14 14:16:56+00:00,27.2,0,1.8,910
2023-06-14 14:17:17+00:00,27.2,23,1.8,910
2023-06-14 14:17:25+00:00,27.2,21,1.8,910
2023-06-14 13:52:29+00:00,27.2,32,3.49,330
2023-06-14 13:52:36+00:00,27.2,0,3.49,330
2023-06-14 14:28:55+00:00,27.2,60,4.24,970
2023-06-14 14:16:43+00:00,27.2,0,1.81,910
2023-06-14 14:16:47+00:00,27.2,0,1.81,910
2023-06-14 14:16:53+00:00,27.2,0,1.81,910
2023-06-14 14:15:48+00:00,26.7,0,3.64,910
2023-06-14 14:15:49+00:00,26.7,0,2.64,910
2023-06-14 13:49:15+00:00,27.7,35,1.5,230
2023-06-14 13:49:18+00:00,27.7,29,1.5,240
2023-06-14 13:49:22+00:00,27.7,0,1.5,240
2023-06-14 13:49:36+00:00,27.7,31,1.5,240
2023-06-14 13:49:25+00:00,27.7,0,1.51,240
2023-06-14 14:25:12+00:00,27.4,0,1.78,930
2023-06-14 14:25:36+00:00,27.4,0,1.77,930
2023-06-14 13:50:26+00:00,27.4,0,3.5,260
2023-06-14 13:50:18+00:00,27.4,53,3.51,260
2023-06-14 13:50:22+00:00,27.4,52,3.51,260
2023-06-14 14:21:11+00:00,27.4,0,1.76,920
2023-06-14 14:27:33+00:00,27.4,44,4.31,940
2023-06-14 14:27:46+00:00,27.4,0,4.32,940
2023-06-14 14:27:31+00:00,27.4,29,4.33,930
2023-06-14 14:20:41+00:00,27.4,0,1.79,920
2023-06-14 14:19:51+00:00,27.4,0,1.8,910
2023-06-14 14:19:55+00:00,27.4,0,1.8,910
2023-06-14 14:20:13+00:00,27.4,0,1.8,910
2023-06-14 14:20:29+00:00,27.4,20,1.8,920
2023-06-14 14:20:31+00:00,27.4,0,1.8,920
2023-06-14 14:20:32+00:00,27.4,0,1.8,920
2023-06-14 14:20:40+00:00,27.4,20,1.8,920
2023-06-14 14:20:46+00:00,27.4,0,1.8,920
2023-06-14 14:20:50+00:00,27.4,0,1.8,920
2023-06-14 14:21:01+00:00,27.4,0,1.8,920
2023-06-14 14:21:09+00:00,27.4,0,1.8,920
2023-06-14 14:21:20+00:00,27.4,0,1.8,920
2023-06-14 14:21:34+00:00,27.4,0,1.8,920
2023-06-14 14:21:44+00:00,27.4,0,1.8,920
2023-06-14 14:22:00+00:00,27.4,0,1.8,920
2023-06-14 14:22:01+00:00,27.4,0,1.8,920
2023-06-14 14:22:49+00:00,27.4,0,1.8,920
